timestamp,open,high,low,close,volume
2026-03-03 00:00:00,86.59,87.28,86.04,86.85,1205799.9
2026-03-03 01:00:00,86.86,87.13,86.08,86.1,592091.67
2026-03-03 02:00:00,86.1,86.3,85.16,86.15,1123846.67
2026-03-03 03:00:00,86.15,86.59,85.84,86.23,489858.61
2026-03-03 04:00:00,86.23,86.41,85.59,85.8,518271.78
2026-03-03 05:00:00,85.79,86.77,85.36,85.73,1278627.41
2026-03-03 06:00:00,85.74,85.94,85.34,85.78,710879.84
2026-03-03 07:00:00,85.78,86.26,85.33,85.53,918656.01
2026-03-03 08:00:00,85.52,85.73,83.88,84.2,1826683.65
2026-03-03 09:00:00,84.2,84.94,83.94,84.23,1562355.35
2026-03-03 10:00:00,84.24,84.52,83.63,83.86,1468400.82
2026-03-03 11:00:00,83.86,84.3,83.72,84.15,1373936.48
2026-03-03 12:00:00,84.15,85.32,84.06,84.37,1747027.9
2026-03-03 13:00:00,84.37,84.42,83.12,83.56,1303239.0
2026-03-03 14:00:00,83.56,84.39,82.4,83.2,2647893.55
2026-03-03 15:00:00,83.19,85.13,83.0,84.98,2450823.55
2026-03-03 16:00:00,84.97,87.31,84.27,85.34,4218539.89
2026-03-03 17:00:00,85.35,85.42,84.1,85.14,1633166.11
2026-03-03 18:00:00,85.13,85.99,84.46,85.35,1327071.23
2026-03-03 19:00:00,85.35,85.73,84.61,85.04,1303201.75
2026-03-03 20:00:00,85.04,85.42,84.61,84.81,774399.08
2026-03-03 21:00:00,84.8,85.13,84.13,85.08,662728.32
2026-03-03 22:00:00,85.08,86.61,85.06,86.24,995132.41
2026-03-03 23:00:00,86.23,87.43,86.14,86.92,1500606.93
2026-03-04 00:00:00,86.91,87.34,86.21,86.58,959260.14
2026-03-04 01:00:00,86.58,88.06,86.44,87.22,1492204.73
2026-03-04 02:00:00,87.23,87.44,86.49,87.02,823672.78
2026-03-04 03:00:00,87.01,87.02,85.12,85.71,1596098.02
2026-03-04 04:00:00,85.71,85.87,84.76,85.36,954521.65
2026-03-04 05:00:00,85.35,85.94,84.75,85.64,1122440.11
2026-03-04 06:00:00,85.63,86.0,84.92,85.56,968383.66
2026-03-04 07:00:00,85.56,87.49,85.45,87.38,1287939.65
2026-03-04 08:00:00,87.38,89.98,86.94,89.7,2693769.38
