entry_time,exit_time,direction,entry_price,exit_price,size_usd,pnl,pnl_pct,exit_reason
2021-08-19 03:00:00,2021-08-19 15:00:00,long,69.666,73.522,2353.6207326439426,126.97739595111734,5.5349811959923185,rsi_target
2021-08-20 11:00:00,2021-08-20 14:00:00,long,71.494,73.167,5295.499469121175,116.5039807141333,2.3400565082384563,rsi_target
2021-08-21 16:00:00,2021-08-22 07:00:00,long,75.708,75.512,5191.636667971192,-20.708889249809943,-0.25888941723463565,rsi_target
2021-08-25 22:00:00,2021-08-26 05:00:00,short,71.143,68.339,4680.949408841367,177.93962364646868,3.9413575474748073,rsi_target
2021-08-29 12:00:00,2021-08-29 20:00:00,long,91.96,94.16,4650.265133567996,104.73999086008618,2.3923444976076587,rsi_target
2021-09-04 16:00:00,2021-09-05 00:00:00,long,138.97,141.56,4385.826259886188,75.59899566549835,1.8637115924300234,rsi_target
2021-09-09 17:00:00,2021-09-10 10:00:00,long,191.22,184.66,2513.2246276896044,-89.73728635222957,-3.4306034933584364,rsi_target
2021-09-19 13:00:00,2021-09-19 22:00:00,long,159.41,151.85,4638.190555303573,-226.4590937650357,-4.742487924220565,stop_loss
2021-10-26 05:00:00,2021-10-26 18:00:00,long,206.84,206.8,5644.01456743587,-8.993094880473793,-0.01933861922258366,rsi_target
2021-11-05 10:00:00,2021-11-06 00:00:00,long,238.06,241.18,6384.771665393591,74.73975197974879,1.310593967907252,rsi_target
2021-11-11 11:00:00,2021-11-11 17:00:00,short,239.88,237.9,6318.389323847371,43.30704326251217,0.8254127063531723,rsi_target
2021-11-30 07:00:00,2021-11-30 11:00:00,long,201.77,207.19,7284.145386393226,185.4708686811399,2.6862268920057426,rsi_target
2021-12-30 16:00:00,2021-12-30 21:00:00,short,175.2,173.2,9441.685957178624,94.56344282408949,1.1415525114155252,rsi_target
2022-01-01 09:00:00,2022-01-01 19:00:00,short,172.73,177.3,10028.993079163554,-279.3824439076429,-2.6457476987205593,stop_loss
2022-01-14 04:00:00,2022-01-14 10:00:00,long,147.83,143.1,5111.702164940412,-170.7114884910278,-3.1996211864980166,stop_loss
2022-01-23 08:00:00,2022-01-23 14:00:00,short,101.57,98.12,2958.648324817073,96.35347884342357,3.396672245741842,rsi_target
2022-01-27 16:00:00,2022-01-27 20:00:00,short,92.48,87.18,4531.699556257506,253.36591093443985,5.730968858131485,rsi_target
2022-02-24 17:00:00,2022-02-24 19:00:00,short,84.16,90.81,2733.39022374705,-219.8087447438293,-7.901615969581756,stop_loss
2022-02-26 12:00:00,2022-02-27 00:00:00,long,90.73,87.96,5478.06698386991,-174.915469742586,-3.0530144384437454,stop_loss
2022-03-05 14:00:00,2022-03-06 02:00:00,short,88.98,88.66,8560.280491244692,18.80106198969466,0.35963137783772464,rsi_target
2022-03-08 09:00:00,2022-03-08 16:00:00,short,84.06,81.72,5780.830211580972,152.8293061203878,2.783725910064244,rsi_target
2022-03-14 12:00:00,2022-03-14 17:00:00,short,80.74,79.2,8102.752150993318,143.20455313834486,1.9073569482288733,rsi_target
2022-03-20 04:00:00,2022-03-20 17:00:00,long,90.55,88.38,8274.551670826604,-209.88119316404675,-2.3964660408614042,stop_loss
2022-04-12 16:00:00,2022-04-12 18:00:00,short,105.5,101.4,5625.122036265286,210.73146752541473,3.8862559241706105,rsi_target
2022-04-23 14:00:00,2022-04-23 22:00:00,short,101.83,101.41,10254.68392456268,27.939104376537742,0.4124521260925088,rsi_target
2022-05-01 16:00:00,2022-05-01 18:00:00,short,90.71,87.75,5978.83777953252,186.7278503190637,3.2631462903759165,rsi_target
2022-06-02 17:00:00,2022-06-03 06:00:00,short,40.46,40.67,5108.328839681063,-33.66547788254873,-0.5190311418685142,rsi_target
2022-06-06 23:00:00,2022-06-07 00:00:00,long,42.39,40.21,5130.040705629012,-271.0058064163129,-5.1427223401745685,stop_loss
2022-06-16 12:00:00,2022-06-17 09:00:00,long,31.46,31.23,3083.5185109744725,-26.860131812507618,-0.7310870947234597,rsi_target
2022-07-13 11:00:00,2022-07-13 12:00:00,short,33.97,32.4,8785.2485390447,393.73068461231367,4.621725051516044,rsi_target
2022-07-16 09:00:00,2022-07-16 13:00:00,long,36.68,37.43,8093.429212072513,154.15643762693668,2.044711014176663,rsi_target
2022-07-17 20:00:00,2022-07-18 02:00:00,long,39.08,40.59,6424.737090326912,239.2487919833087,3.8638689866939746,rsi_target
2022-07-18 21:00:00,2022-07-18 23:00:00,long,40.31,43.52,5835.364462169634,456.51716610038324,7.963284544777973,take_profit
2022-07-27 08:00:00,2022-07-27 18:00:00,short,36.73,38.76,7333.530085870372,-415.5777527468688,-5.526817315545879,stop_loss
2022-07-31 05:00:00,2022-07-31 12:00:00,long,43.73,44.49,6013.77211470572,96.09631033089103,1.737937342785285,rsi_target
2022-08-03 14:00:00,2022-08-03 22:00:00,short,40.16,38.79,4824.312507885003,157.82036826093417,3.411354581673301,rsi_target
2022-08-09 01:00:00,2022-08-09 05:00:00,long,41.69,42.57,7987.911156261141,157.42718625482098,2.110817941952513,rsi_target
2022-08-13 16:00:00,2022-08-14 02:00:00,long,46.19,46.82,7403.807472083596,90.6175382858395,1.3639315869235822,rsi_target
2022-08-18 12:00:00,2022-08-18 16:00:00,short,41.61,40.78,11421.727432655067,211.84024175058397,1.9947128094208084,rsi_target
2022-08-21 09:00:00,2022-08-22 01:00:00,short,35.98,36.18,7134.20710436106,-49.64440525661778,-0.555864369093949,rsi_target
2022-08-28 11:00:00,2022-08-28 21:00:00,short,31.77,31.56,10930.298805457373,56.9469599898308,0.6610009442870659,rsi_target
2022-09-10 00:00:00,2022-09-10 08:00:00,long,34.71,34.61,8211.628210803075,-35.15409629375061,-0.28810141169692144,rsi_target
2022-09-17 07:00:00,2022-09-17 20:00:00,short,32.85,33.41,11586.867202068473,-213.74507323535516,-1.7047184170471692,stop_loss
2022-09-19 16:00:00,2022-09-20 08:00:00,short,32.13,32.29,7357.19682545223,-46.937221278394766,-0.4979769685651932,rsi_target
2022-10-09 11:00:00,2022-10-10 00:00:00,short,32.83,33.29,11316.712875540963,-174.40836673574373,-1.4011574779165423,stop_loss
2022-10-29 22:00:00,2022-10-30 01:00:00,long,32.74,33.17,8102.5287784113525,95.0733007217354,1.3133781307269385,rsi_target
2022-11-03 10:00:00,2022-11-03 15:00:00,short,31.66,31.2,8521.492547875654,111.88186785630978,1.4529374605180065,rsi_target
2022-11-10 15:00:00,2022-11-11 03:00:00,short,17.67,16.39,1449.9089294610383,103.00031593735842,7.2439162422184555,rsi_target
2022-11-28 16:00:00,2022-11-28 19:00:00,short,13.53,13.35,6666.164615765628,79.35248637738201,1.3303769401330356,rsi_target
2022-12-01 13:00:00,2022-12-02 05:00:00,long,13.74,13.46,10964.1239248792,-238.78170209498873,-2.037845705967972,stop_loss
2022-12-12 21:00:00,2022-12-13 03:00:00,short,13.32,13.09,11269.32031176705,178.8133173072518,1.7267267267267299,rsi_target
2023-01-04 20:00:00,2023-01-05 10:00:00,long,12.99,13.22,4772.78179469611,77.82463456980477,1.7705927636643606,rsi_target
2023-01-11 10:00:00,2023-01-11 15:00:00,long,16.01,15.41,9122.369070071074,-354.6464848456733,-3.747657713928803,stop_loss
2023-02-02 14:00:00,2023-02-02 17:00:00,long,24.72,25.43,9283.204616139848,253.63277233430148,2.8721682847896477,rsi_target
2023-02-07 13:00:00,2023-02-07 16:00:00,short,23.28,23.0,11407.720713236398,121.23545387544688,1.2027491408934756,rsi_target
2023-02-11 13:00:00,2023-02-11 17:00:00,short,20.52,20.36,11523.252306755227,73.71736729105136,0.7797270955165699,rsi_target
2023-02-11 22:00:00,2023-02-12 15:00:00,short,20.78,21.43,11591.208047892902,-378.8015714946905,-3.1280076997112536,stop_loss
2023-02-22 22:00:00,2023-02-23 12:00:00,short,24.11,24.03,7719.753946655526,14.807455040108602,0.33181252592284655,rsi_target
2023-02-26 08:00:00,2023-02-26 18:00:00,short,22.76,23.25,8891.44981255857,-203.87203712570528,-2.1528998242530686,stop_loss
2023-03-03 15:00:00,2023-03-04 03:00:00,short,21.26,21.33,11009.240688409061,-51.66161279578578,-0.3292568203198341,rsi_target
2023-03-05 11:00:00,2023-03-05 14:00:00,short,21.2,21.24,9079.8203863795,-29.843485119005464,-0.18867924528301486,rsi_target
2023-03-26 09:00:00,2023-03-26 16:00:00,short,20.79,20.67,10917.691059956876,47.73220833110594,0.5772005772005648,rsi_target
2023-04-22 14:00:00,2023-04-23 07:00:00,short,21.6,22.07,10959.964422758005,-253.82465753890978,-2.1759259259259203,stop_loss
2023-05-13 21:00:00,2023-05-14 03:00:00,long,20.88,20.94,10700.659783007717,15.76809866875507,0.2873563218390914,rsi_target
2023-05-15 20:00:00,2023-05-16 13:00:00,long,21.15,20.74,10711.077551784969,-222.63341855981994,-1.9385342789598117,stop_loss
2023-05-29 15:00:00,2023-05-30 01:00:00,long,20.48,20.86,10483.088594449255,179.8341088725907,1.8554687499999951,rsi_target
2023-06-05 09:00:00,2023-06-05 15:00:00,long,21.57,19.93,10552.152643941816,-817.069274066126,-7.603152526657397,stop_loss
